title,artist,genre,bpm,enrgy,dance,dB,live,val,dur,acous,spch,pop
ROXANNE,Arizona Zervas,pop rap,117,60,62,-6,46,46,164,5,15,87
You Got It,Vedo,pop r&b,122,38,77,-9,17,39,202,30,21,86
Candy Paint,Post Malone,dfw rap,180,67,66,-6,8,38,228,64,15,78
Mine,Bazzi,pop,143,79,71,-4,45,72,131,2,7,78
REEL IT IN,Aminé,hip hop,129,34,75,-9,19,42,121,7,10,78
Caroline,Aminé,hip hop,120,34,94,-10,26,71,210,17,51,76
The London (feat. J. Cole & Travis Scott),Young Thug,atl hip hop,98,52,78,-9,16,21,200,2,21,75
3:15,Bazzi,pop,142,65,65,-5,18,54,167,39,5,71
Herside Story,GoldLink,alternative r&b,148,60,89,-5,11,75,184,66,29,69
pick up the phone,Young Thug,atl hip hop,137,72,71,-4,32,46,252,12,8,68
Indigo,88rising,asian american hip hop,145,66,82,-6,26,71,173,10,8,68
Flare Guns,Quinn XCII,indie pop rap,93,47,81,-7,28,46,240,26,6,68
History,88rising,asian american hip hop,75,59,55,-8,10,41,207,61,23,67
Darlin',tobi lou,alternative r&b,110,39,87,-11,10,56,205,57,32,66
You & Me,Marc E. Bassy,pop,84,64,45,-8,19,61,218,4,28,66
I Wish I Missed My Ex,Mahalia,alternative r&b,95,67,67,-4,29,55,203,27,9,66
Jasmine,DPR LIVE,k-pop,138,49,60,-6,14,40,202,33,10,65
Omae Wa Mou,Shayne Orok,otacore,93,62,69,-12,12,71,114,75,4,65
D (Half Moon),DEAN,k-pop,170,77,51,-5,6,52,229,25,14,64
Text Me,DPR LIVE,k-pop,134,59,85,-6,26,76,177,15,28,61
La Cienega,88rising,asian american hip hop,109,32,61,-10,10,21,193,51,15,61
Peach Jam,88rising,asian american hip hop,90,67,86,-7,10,62,162,2,5,60
Martini Blue,DPR LIVE,k-pop,140,55,77,-7,13,88,195,40,12,59
iffy (Prod. GroovyRoom),Sik-K,k-pop,135,52,94,-6,7,83,260,7,12,59
Glow Like Dat,Rich Brian,indonesian hip hop,140,59,79,-10,12,58,211,41,7,59
Adios,Hoody,k-indie,78,71,63,-3,24,53,201,28,7,59
Tequila Sunrise (feat. AUGUST 08 & GoldLink),88rising,asian american hip hop,100,55,80,-7,9,46,243,3,8,57
Love Me For The Weekend (with Ashe),Party Pupils,pop edm,115,71,66,-5,7,56,227,5,23,57
V,Jay Park,k-pop,130,57,83,-8,16,86,227,42,17,56
Action!,DPR LIVE,k-pop,103,79,68,-4,58,93,191,16,11,56
Attention (feat. Offset),Rich Brian,indonesian hip hop,158,55,88,-7,12,43,170,4,39,55
Newsflash!,NIKI,indonesian r&b,80,37,73,-9,9,48,204,9,15,54
BRB,Bazzi,pop,139,62,66,-5,39,54,161,52,3,54
Lover Boy 88,88rising,asian american hip hop,110,70,73,-7,26,50,233,35,6,53
Know Me,DPR LIVE,k-pop,134,89,52,-5,32,38,204,16,35,53
Cereal,Crush,k-pop,115,57,88,-6,11,56,218,55,4,53
move!,NIKI,indonesian r&b,127,49,83,-7,9,80,156,52,51,52
Teacher,PRETTYMUCH,boy band,180,63,52,-5,36,39,195,2,13,52
To Myself,DPR LIVE,k-pop,120,84,77,-6,77,71,213,15,19,51
Cupid,pH-1,k-pop,115,63,87,-4,12,56,220,14,9,51
Oasis,Crush,k-pop,96,82,46,-4,44,82,191,22,26,51
Waterboy,tobi lou,alternative r&b,130,68,78,-6,14,51,192,9,4,50
Cheese & Wine,DPR LIVE,k-pop,150,77,64,-6,25,74,194,3,22,50
2 The Face,88rising,asian american hip hop,172,68,65,-8,14,34,152,17,8,49
Amen,Rich Brian,indonesian hip hop,140,68,92,-9,9,77,117,35,28,49
These Nights,88rising,asian american hip hop,83,67,66,-7,28,49,223,0,5,49
Still (Feat. Crush),Loco,k-pop,134,73,71,-6,10,42,276,5,4,49
Is You Down,DPR LIVE,k-pop,93,48,86,-7,7,94,147,43,30,48
PACKITUP!,pH-1,k-pop,102,67,93,-3,15,71,124,5,26,41
Groupie,pH-1,k-pop,124,63,92,-4,30,81,239,1,5,39
"Lavender Town, Pt. 1 (feat. DJ Pharris)",tobi lou,alternative r&b,148,62,82,-10,9,16,188,10,21,38
GREEN HORIZON,punchnello,k-indie,127,88,95,-5,10,92,181,9,19,34
Need Me Now (feat. Guapdad 4000),Higher Brothers,chinese hip hop,155,87,71,-4,25,90,250,32,24,32
Drip,Marc E. Bassy,pop,130,62,89,-6,14,55,182,16,12,31
All in Time,Lackhoney,,90,47,85,-8,11,52,117,52,19,28
