title,artist,genre,bpm,enrgy,dance,dB,live,val,dur,acous,spch,pop
Takeaway,The Chainsmokers,dance pop,100,51,53,-8,10,35,210,13,3,80
Lonely (with Jonas Brothers),Diplo,bmore,98,72,74,-5,21,53,140,6,6,78
In Your Arms (with X Ambassadors),ILLENIUM,edm,148,81,40,-5,11,11,221,20,5,75
All You Need To Know (feat. Calle Lehmann),Gryffin,dance pop,140,79,51,-5,11,23,238,1,4,75
Body Back (feat. Maia Wright),Gryffin,dance pop,123,83,69,-4,18,49,215,9,4,71
Feel Good (feat. Daya),Gryffin,dance pop,138,71,63,-5,21,48,248,22,3,71
Waste It On Me,Steve Aoki,big room,96,68,67,-5,72,47,193,25,6,69
Need Your Love (with Noah Kahan),Gryffin,dance pop,104,76,58,-4,18,52,206,16,4,68
Good Things Fall Apart (with Jon Bellion),ILLENIUM,edm,144,60,64,-5,12,42,217,1,3,68
Love Is Gone,SLANDER,dubstep,150,47,45,-10,10,8,256,6,3,67
Shelter,Porter Robinson,big room,200,80,28,-4,18,26,219,0,6,67
Light,San Holo,edm,150,76,57,-4,9,43,240,9,6,66
GUD VIBRATIONS,NGHTMRE,bass trap,152,92,51,-5,7,7,224,0,5,62
Crawl Outta Love,ILLENIUM,edm,84,72,38,-3,8,17,242,18,5,62
Without Me - ILLENIUM Remix,Halsey,dance pop,136,71,64,-3,22,37,249,48,5,61
Spectrum,Zedd,complextro,130,80,61,-4,13,41,243,1,3,61
First Time (feat. Dylan Matthew),Seven Lions,dubstep,150,68,42,-6,16,15,298,25,4,61
Beautiful Creatures (feat. MAX),ILLENIUM,edm,117,83,59,-5,37,22,241,7,8,61
I Wanna Know,RL Grime,bass trap,83,85,43,-4,20,11,207,50,8,61
All I Got,Said the Sky,chillstep,145,58,33,-7,57,10,316,16,5,60
Potions,SLANDER,dubstep,150,32,55,-12,11,19,215,10,4,60
lift me from the ground,San Holo,edm,155,69,57,-5,15,35,261,52,4,59
Honest,San Holo,edm,150,77,45,-5,20,41,228,43,11,59
Bye Bye (feat. Ivy Adara),Gryffin,dance pop,148,78,61,-4,17,54,210,1,9,59
Hold On (with Georgia Ku),ILLENIUM,edm,76,74,51,-4,52,40,235,5,4,59
Superhuman,SLANDER,dubstep,128,73,57,-6,95,16,269,3,4,59
Rush Over Me,Seven Lions,dubstep,135,75,44,-4,3,25,260,7,4,59
Crashing (feat. Bahari),ILLENIUM,edm,96,68,58,-6,19,27,230,34,5,58
Sad Songs (& Said The Sky with Annika Wells),ILLENIUM,edm,145,57,53,-6,11,48,210,68,4,58
Dynasty,Elephante,big room,130,92,51,-4,54,31,201,0,8,57
Nobody Compares To You (feat. Katie Pearlman),Gryffin,dance pop,105,74,59,-5,20,35,231,23,4,57
I Feel The Love,Tritonal,big room,125,81,56,-6,17,44,213,2,3,57
Fractures,ILLENIUM,edm,160,71,41,-3,14,27,245,37,4,56
Sound of Walking Away,ILLENIUM,edm,180,79,35,-3,10,21,253,8,7,56
Hard To Say Goodbye (feat. Chloe Angelides),Ekali,canadian electronic,153,76,55,-5,10,36,197,8,5,55
You Don't Even Know Me,SLANDER,dubstep,150,90,57,0,10,4,226,0,4,55
Needed You,ILLENIUM,edm,184,72,17,-4,9,32,306,16,5,55
Moments,MitiS,chillstep,150,78,50,-3,10,18,278,46,5,54
Another Me (with Dylan Matthew),Seven Lions,dubstep,75,89,45,-3,15,30,208,2,5,54
Fortress,ILLENIUM,edm,142,85,56,-5,69,47,204,19,6,53
Let You Go,ILLENIUM,edm,108,51,35,-6,20,13,184,40,3,53
That’s Why (with GOLDN),ILLENIUM,edm,140,62,49,-5,13,18,253,9,3,53
