title,artist,genre,bpm,enrgy,dance,dB,live,val,dur,acous,spch,pop
ALWAYS DO,The Kid LAROI,australian hip hop,168,43,76,-7,9,58,152,4,11,83
WITHOUT YOU,The Kid LAROI,australian hip hop,93,41,66,-7,13,47,161,21,3,81
TRAGIC (feat. Youngboy Never Broke Again & Internet Money),The Kid LAROI,australian hip hop,82,64,78,-6,20,39,153,4,12,80
"F*CK YOU, GOODBYE (feat. Machine Gun Kelly)",The Kid LAROI,australian hip hop,92,63,72,-7,29,30,145,7,4,80
1400 / 999 Freestyle,Trippie Redd,melodic rap,142,57,83,-6,11,57,176,1,9,78
FEEL SOMETHING (feat. Marshmello),The Kid LAROI,australian hip hop,154,61,52,-8,14,37,139,6,19,77
Young Wheezy (with Gunna),NAV,canadian hip hop,122,53,92,-4,9,29,151,1,10,77
PIKACHU,The Kid LAROI,australian hip hop,93,49,75,-7,36,25,134,7,13,76
Don't Need Friends (feat. Lil Baby),NAV,canadian hip hop,130,67,85,-4,13,58,185,1,21,76
Repercussions (with Young Thug),NAV,canadian hip hop,160,77,79,-5,14,56,159,0,11,69
Diamond Choker,Lil Gnar,atl hip hop,130,43,92,-13,4,68,155,10,39,69
Safe With Me (with Audrey Mika),Gryffin,dance pop,170,76,50,-4,12,51,205,4,13,68
Your Fault,Excision,brostep,164,54,43,-4,8,20,315,16,5,60
Fragile (feat. Melanie Fontana),ARMNHMR,edm,138,69,45,-4,8,51,234,28,3,52
Better Off Lonely,Nurko,edm,128,70,56,-5,8,20,270,63,4,51
Waiting For You (feat. RUNN),Trivecta,chillstep,148,68,37,-7,9,18,258,3,4,47
Love U Right - Yetep & Zephure Remix,Tritonal,big room,135,65,66,-5,51,29,219,10,8,2
